customer_ID,monthly_charges,total_charges,avg_monthly_spend,revenue_loss_to_churn
7590-VHVEG,29.85,29.85,29.85,0
5575-GNVDE,56.95,1889.5,55.57352941,0
3668-QPYBK,53.85,108.15,54.075,107.7
7795-CFOCW,42.3,1840.75,40.90555556,0
9237-HQITU,70.7,151.65,75.825,141.4
9305-CDSKC,99.65,820.5,102.5625,797.2
1452-KIOVK,89.1,1949.4,88.60909091,0
6713-OKOMC,29.75,301.9,30.19,0
7892-POOKP,104.8,3046.05,108.7875,2934.4
6388-TABGU,56.15,3487.95,56.25725806,0
9763-GRSKD,49.95,587.45,45.18846154,0
7469-LKBCI,18.95,326.8,20.425,0
8091-TTVAX,100.35,5681.1,97.95,0
0280-XJGEX,103.7,5036.3,102.7816327,5081.3
5129-JLPIS,105.5,2686.05,107.442,0
3655-SNQYZ,113.25,7895.15,114.4224638,0
8191-XWSZG,20.65,1022.95,19.67211538,0
9959-WOFKT,106.7,7382.25,103.9753521,0
4190-MFLUW,55.2,528.35,52.835,552
4183-MYFRB,90.05,1862.9,88.70952381,0
8779-QRDMV,39.65,39.65,39.65,39.65
1680-VDCWW,19.8,202.25,16.85416667,0
1066-JKSGK,20.15,20.15,20.15,20.15
3638-WEABW,59.9,3505.1,60.43275862,0
6322-HRPFA,59.6,2970.3,60.61836735,0
6865-JZNKO,55.3,1530.6,51.02,0
6467-CHFZW,99.35,4749.15,101.0457447,4669.45
8665-UTDHZ,30.2,30.2,30.2,30.2
5248-YGIJN,90.25,6369.45,88.46458333,0
8773-HHUOZ,64.7,1093.1,64.3,1099.9
3841-NFECX,96.35,6766.95,95.30915493,0
4929-XIHVW,95.5,181.65,90.825,0
6827-IEAUQ,66.15,1874.45,69.42407407,0
7310-EGVHZ,20.2,20.2,20.2,0
3413-BMNZE,45.25,45.25,45.25,0
6234-RAAPL,99.9,7251.7,100.7180556,0
6047-YHPVI,69.7,316.9,63.38,348.5
6572-ADKRS,74.8,3548.3,77.13695652,0
5380-WJKOV,106.35,3549.25,104.3897059,3615.9
8168-UQWWF,97.85,1105.4,100.4909091,1076.35
8865-TNMNX,49.55,475.7,47.57,0
9489-DEDVP,69.2,4872.35,69.605,0
9867-JCZSP,20.75,418.25,24.60294118,0
4671-VJLCL,79.85,4861.45,77.16587302,0
4080-IIARD,76.2,981.45,75.49615385,0
3714-NTNFO,84.5,3906.7,79.72857143,0
5948-UJZLF,49.25,97,48.5,0
7760-OYPDY,80.65,144.15,72.075,161.3
7639-LIAYI,79.75,4217.8,81.11153846,0
2954-PIBKO,64.15,4254.1,61.65362319,0
8012-SOUDQ,90.25,3838.75,89.27325581,0
9420-LOJKX,99.1,1426.4,95.09333333,1486.5
6575-SUVOI,69.5,1752.65,70.106,0
7495-OOKFY,80.65,633.3,79.1625,645.2
4667-QONEA,74.85,4456.35,74.2725,0
1658-BYGOY,95.45,1752.55,97.36388889,1718.1
8769-KKTPH,99.65,6311.2,100.1777778,0
5067-XJQFU,108.45,7076.35,107.2174242,0
3957-SQXML,24.95,894.3,26.30294118,0
5954-BDFSG,107.5,7853.7,109.0791667,0
0434-CSFON,100.5,4707.1,100.1510638,0
1215-FIGMP,89.9,5450.7,90.845,0
0526-SXDJP,42.1,2962,41.13888889,0
0557-ASKVU,54.4,957.1,53.17222222,0
5698-BQJOH,94.4,857.25,95.25,849.6
5122-CYFXA,75.3,244.1,81.36666667,0
8627-ZYGSZ,78.9,3650.35,77.66702128,0
3410-YOQBQ,79.2,2497.2,80.55483871,0
3170-NMYVV,20.15,930.9,18.618,0
7410-OIEDU,79.85,887.35,88.735,0
2273-QCKXA,49.05,49.05,49.05,0
0731-EBJQB,20.4,1090.65,20.97403846,0
1891-QRQSA,111.6,7099,110.921875,0
8028-PNXHQ,24.25,1424.6,22.97741935,0
5630-AHZIL,64.5,177.4,59.13333333,0
2673-CXQEU,110.5,6139.5,109.6339286,0
6416-JNVRK,55.65,2688.85,58.45326087,0
5590-ZSKRV,54.65,482.25,60.28125,0
0191-ZHSKZ,74.75,2111.3,70.37666667,0
3887-PBQAO,25.9,1216.6,27.03555556,0
5919-TMRGD,79.35,79.35,79.35,79.35
8108-UXRQN,50.55,565.35,51.39545455,0
9191-MYQKX,75.15,496.9,70.98571429,526.05
9919-YLNNG,103.8,4327.5,103.0357143,0
0318-ZOPWS,20.15,973.35,19.86428571,0
4445-ZJNMU,99.3,918.75,102.0833333,0
4808-YNLEU,62.15,2215.45,63.29857143,0
1862-QRWPE,20.65,1057,22.02083333,0
2796-NNUFI,19.95,927.1,20.15434783,0
3016-KSVCP,33.75,1009.25,34.80172414,0
4767-HZZHQ,82.05,2570.2,85.67333333,0
2424-WVHPL,74.7,74.7,74.7,0
7233-PAHHL,84,5714.25,86.57954545,0
6067-NGCEU,111.05,7107,109.3384615,0
9848-JQJTX,100.9,7459.05,103.5979167,0
8637-XJIVR,78.95,927.35,77.27916667,947.4
9803-FTJCG,66.85,4748.7,66.88309859,0
0278-YXOOG,21.05,113.85,22.77,105.25
3212-KXOCR,21,1107.2,21.29230769,0
4598-XLKNJ,98.5,2514.5,100.58,2462.5
6380-ARCEH,20.2,20.2,20.2,0
3679-XASPY,19.45,19.45,19.45,0
7123-WQUHX,95,3605.6,94.88421053,0
5386-THSLQ,45.55,3027.25,45.86742424,0
3192-NQECA,110,7611.85,111.9389706,7480
6180-YBIQI,24.3,100.2,20.04,0
6728-DKUCO,104.15,7303.05,101.43125,0
9750-BOOHV,30.15,927.65,28.9890625,0
8597-CWYHH,94.35,3921.3,91.19302326,0
2848-YXSMW,19.4,1363.25,18.93402778,0
0486-HECZI,96.75,5238.9,95.25272727,5321.25
4549-ZDQYY,57.95,3042.25,58.50480769,0
5712-AHQNN,91.65,3954.1,91.95581395,0
4846-WHAFZ,76.5,2868.15,77.51756757,2830.5
5256-SKJGO,54.6,3423.5,53.4921875,0
3071-VBYPO,89.85,248.4,82.8,0
9560-BBZXK,31.05,1126.35,31.2875,0
5299-RULOA,100.25,1064.65,106.465,1002.5
8402-OOOHJ,20.65,835.15,20.3695122,0
9445-ZUEQE,85.2,2151.6,79.68888889,0
1091-SOZGA,99.8,5515.45,98.49017857,0
2928-HLDBA,20.7,112.75,18.79166667,0
0404-SWRVG,74.4,229.55,76.51666667,223.2
6497-TILVL,50.7,350.35,50.05,0
7219-TLZHO,20.85,62.9,15.725,0
4622-YNKIJ,88.95,3027.65,91.7469697,0
4412-YLTKF,78.05,2135.5,79.09259259,2107.35
6734-PSBAW,23.55,1723.95,23.94375,0
