customer_ID,contract_type,paperless_billing,payment_method,high_value_customer_flag
7590-VHVEG,Month-to-month,Yes,Electronic check,Low
5575-GNVDE,One year,No,Mailed check,Medium
3668-QPYBK,Month-to-month,Yes,Mailed check,Medium
7795-CFOCW,One year,No,Bank transfer (automatic),Medium
9237-HQITU,Month-to-month,Yes,Electronic check,Medium
9305-CDSKC,Month-to-month,Yes,Electronic check,High
1452-KIOVK,Month-to-month,Yes,Credit card (automatic),High
6713-OKOMC,Month-to-month,No,Mailed check,Low
7892-POOKP,Month-to-month,Yes,Electronic check,High
6388-TABGU,One year,No,Bank transfer (automatic),Medium
9763-GRSKD,Month-to-month,Yes,Mailed check,Medium
7469-LKBCI,Two year,No,Credit card (automatic),Low
8091-TTVAX,One year,No,Credit card (automatic),High
0280-XJGEX,Month-to-month,Yes,Bank transfer (automatic),High
5129-JLPIS,Month-to-month,Yes,Electronic check,High
3655-SNQYZ,Two year,No,Credit card (automatic),High
8191-XWSZG,One year,No,Mailed check,Low
9959-WOFKT,Two year,No,Bank transfer (automatic),High
4190-MFLUW,Month-to-month,No,Credit card (automatic),Medium
4183-MYFRB,Month-to-month,Yes,Electronic check,High
8779-QRDMV,Month-to-month,Yes,Electronic check,Low
1680-VDCWW,One year,No,Bank transfer (automatic),Low
1066-JKSGK,Month-to-month,No,Mailed check,Low
3638-WEABW,Two year,Yes,Credit card (automatic),Medium
6322-HRPFA,Month-to-month,No,Credit card (automatic),Medium
6865-JZNKO,Month-to-month,Yes,Bank transfer (automatic),Medium
6467-CHFZW,Month-to-month,Yes,Electronic check,High
8665-UTDHZ,Month-to-month,No,Electronic check,Low
5248-YGIJN,Two year,Yes,Credit card (automatic),High
8773-HHUOZ,Month-to-month,Yes,Mailed check,Medium
3841-NFECX,Two year,Yes,Credit card (automatic),High
4929-XIHVW,Month-to-month,Yes,Credit card (automatic),High
6827-IEAUQ,One year,No,Mailed check,Medium
7310-EGVHZ,Month-to-month,No,Bank transfer (automatic),Low
3413-BMNZE,Month-to-month,No,Bank transfer (automatic),Medium
