customer_ID,gender,senior_citizen,partner,dependents,tenure,tenure_group,churn
7590-VHVEG,Female,NO,Yes,No,1,0-1 Year,No
5575-GNVDE,Male,NO,No,No,34,2-4 Years,No
3668-QPYBK,Male,NO,No,No,2,0-1 Year,Yes
7795-CFOCW,Male,NO,No,No,45,2-4 Years,No
9237-HQITU,Female,NO,No,No,2,0-1 Year,Yes
9305-CDSKC,Female,NO,No,No,8,0-1 Year,Yes
1452-KIOVK,Male,NO,No,Yes,22,1-2 Years,No
6713-OKOMC,Female,NO,No,No,10,0-1 Year,No
7892-POOKP,Female,NO,Yes,No,28,2-4 Years,Yes
6388-TABGU,Male,NO,No,Yes,62,5+ Years,No
9763-GRSKD,Male,NO,Yes,Yes,13,1-2 Years,No
7469-LKBCI,Male,NO,No,No,16,1-2 Years,No
8091-TTVAX,Male,NO,Yes,No,58,4-5 Years,No
0280-XJGEX,Male,NO,No,No,49,4-5 Years,Yes
5129-JLPIS,Male,NO,No,No,25,2-4 Years,No
3655-SNQYZ,Female,NO,Yes,Yes,69,5+ Years,No
8191-XWSZG,Female,NO,No,No,52,4-5 Years,No
9959-WOFKT,Male,NO,No,Yes,71,5+ Years,No
4190-MFLUW,Female,NO,Yes,Yes,10,0-1 Year,Yes
4183-MYFRB,Female,NO,No,No,21,1-2 Years,No
8779-QRDMV,Male,YES,No,No,1,0-1 Year,Yes
1680-VDCWW,Male,NO,Yes,No,12,1-2 Years,No
1066-JKSGK,Male,NO,No,No,1,0-1 Year,Yes
3638-WEABW,Female,NO,Yes,No,58,4-5 Years,No
6322-HRPFA,Male,NO,Yes,Yes,49,4-5 Years,No
6865-JZNKO,Female,NO,No,No,30,2-4 Years,No
6467-CHFZW,Male,NO,Yes,Yes,47,2-4 Years,Yes
8665-UTDHZ,Male,NO,Yes,Yes,1,0-1 Year,Yes
5248-YGIJN,Male,NO,Yes,No,72,5+ Years,No
8773-HHUOZ,Female,NO,No,Yes,17,1-2 Years,Yes
3841-NFECX,Female,YES,Yes,No,71,5+ Years,No
4929-XIHVW,Male,YES,Yes,No,2,0-1 Year,No
6827-IEAUQ,Female,NO,Yes,Yes,27,2-4 Years,No
7310-EGVHZ,Male,NO,No,No,1,0-1 Year,No
3413-BMNZE,Male,YES,No,No,1,0-1 Year,No
6234-RAAPL,Female,NO,Yes,Yes,72,5+ Years,No
6047-YHPVI,Male,NO,No,No,5,0-1 Year,Yes
6572-ADKRS,Female,NO,No,No,46,2-4 Years,No
5380-WJKOV,Male,NO,No,No,34,2-4 Years,Yes
8168-UQWWF,Female,NO,No,No,11,0-1 Year,Yes
8865-TNMNX,Male,NO,Yes,Yes,10,0-1 Year,No
9489-DEDVP,Female,NO,Yes,Yes,70,5+ Years,No
9867-JCZSP,Female,NO,Yes,Yes,17,1-2 Years,No
4671-VJLCL,Female,NO,No,No,63,5+ Years,No
4080-IIARD,Female,NO,Yes,No,13,1-2 Years,No
3714-NTNFO,Female,NO,No,No,49,4-5 Years,No
5948-UJZLF,Male,NO,No,No,2,0-1 Year,No
7760-OYPDY,Female,NO,No,No,2,0-1 Year,Yes
7639-LIAYI,Male,NO,No,No,52,4-5 Years,No
2954-PIBKO,Female,NO,Yes,Yes,69,5+ Years,No
8012-SOUDQ,Female,YES,No,No,43,2-4 Years,No
9420-LOJKX,Female,NO,No,No,15,1-2 Years,Yes
6575-SUVOI,Female,YES,Yes,No,25,2-4 Years,No
7495-OOKFY,Female,YES,Yes,No,8,0-1 Year,Yes
4667-QONEA,Female,YES,Yes,Yes,60,5+ Years,No
1658-BYGOY,Male,YES,No,No,18,1-2 Years,Yes
8769-KKTPH,Female,NO,Yes,Yes,63,5+ Years,No
5067-XJQFU,Male,YES,Yes,Yes,66,5+ Years,No
3957-SQXML,Female,NO,Yes,Yes,34,2-4 Years,No
5954-BDFSG,Female,NO,No,No,72,5+ Years,No
0434-CSFON,Female,NO,Yes,No,47,2-4 Years,No
1215-FIGMP,Male,NO,No,No,60,5+ Years,No
0526-SXDJP,Male,NO,Yes,No,72,5+ Years,No
0557-ASKVU,Female,NO,Yes,Yes,18,1-2 Years,No
5698-BQJOH,Female,NO,No,No,9,0-1 Year,Yes
5122-CYFXA,Female,NO,No,No,3,0-1 Year,No
8627-ZYGSZ,Male,NO,Yes,No,47,2-4 Years,No
3410-YOQBQ,Female,NO,No,No,31,2-4 Years,No
3170-NMYVV,Female,NO,Yes,Yes,50,4-5 Years,No
7410-OIEDU,Male,NO,No,No,10,0-1 Year,No
2273-QCKXA,Male,NO,No,No,1,0-1 Year,No
0731-EBJQB,Female,NO,Yes,Yes,52,4-5 Years,No
1891-QRQSA,Male,YES,Yes,Yes,64,5+ Years,No
8028-PNXHQ,Male,NO,Yes,Yes,62,5+ Years,No
5630-AHZIL,Female,NO,No,Yes,3,0-1 Year,No
2673-CXQEU,Female,YES,No,No,56,4-5 Years,No
6416-JNVRK,Female,NO,No,No,46,2-4 Years,No
5590-ZSKRV,Female,NO,Yes,Yes,8,0-1 Year,No
0191-ZHSKZ,Male,YES,No,No,30,2-4 Years,No
3887-PBQAO,Female,NO,Yes,Yes,45,2-4 Years,No
5919-TMRGD,Female,NO,No,Yes,1,0-1 Year,Yes
8108-UXRQN,Female,NO,Yes,Yes,11,0-1 Year,No
9191-MYQKX,Female,NO,Yes,No,7,0-1 Year,Yes
9919-YLNNG,Female,NO,No,No,42,2-4 Years,No
0318-ZOPWS,Female,NO,Yes,No,49,4-5 Years,No
4445-ZJNMU,Male,NO,No,No,9,0-1 Year,No
4808-YNLEU,Female,NO,Yes,No,35,2-4 Years,No
1862-QRWPE,Female,NO,Yes,Yes,48,4-5 Years,No
2796-NNUFI,Female,NO,Yes,Yes,46,2-4 Years,No
3016-KSVCP,Male,NO,Yes,No,29,2-4 Years,No
4767-HZZHQ,Male,NO,Yes,Yes,30,2-4 Years,No
2424-WVHPL,Male,YES,No,No,1,0-1 Year,No
7233-PAHHL,Male,NO,Yes,Yes,66,5+ Years,No
6067-NGCEU,Female,NO,No,No,65,5+ Years,No
9848-JQJTX,Male,NO,No,No,72,5+ Years,No
8637-XJIVR,Female,NO,No,No,12,1-2 Years,Yes
9803-FTJCG,Male,NO,Yes,Yes,71,5+ Years,No
0278-YXOOG,Male,NO,No,No,5,0-1 Year,Yes
3212-KXOCR,Male,NO,No,No,52,4-5 Years,No
4598-XLKNJ,Female,YES,Yes,No,25,2-4 Years,Yes
6380-ARCEH,Male,NO,No,No,1,0-1 Year,No
3679-XASPY,Female,NO,Yes,Yes,1,0-1 Year,No
7123-WQUHX,Male,NO,No,No,38,2-4 Years,No
5386-THSLQ,Female,YES,Yes,No,66,5+ Years,No
3192-NQECA,Male,NO,Yes,No,68,5+ Years,Yes
6180-YBIQI,Male,NO,No,No,5,0-1 Year,No
6728-DKUCO,Female,NO,Yes,Yes,72,5+ Years,No
9750-BOOHV,Female,NO,No,No,32,2-4 Years,No
8597-CWYHH,Male,NO,No,No,43,2-4 Years,No
2848-YXSMW,Male,NO,Yes,Yes,72,5+ Years,No
0486-HECZI,Male,NO,Yes,No,55,4-5 Years,Yes
4549-ZDQYY,Female,NO,No,No,52,4-5 Years,No
5712-AHQNN,Female,NO,No,No,43,2-4 Years,No
4846-WHAFZ,Female,YES,Yes,No,37,2-4 Years,Yes
5256-SKJGO,Female,NO,Yes,Yes,64,5+ Years,No
3071-VBYPO,Male,NO,Yes,Yes,3,0-1 Year,No
9560-BBZXK,Female,NO,No,No,36,2-4 Years,No
5299-RULOA,Female,NO,Yes,Yes,10,0-1 Year,Yes
8402-OOOHJ,Female,NO,No,No,41,2-4 Years,No
9445-ZUEQE,Male,NO,Yes,Yes,27,2-4 Years,No
1091-SOZGA,Female,NO,Yes,Yes,56,4-5 Years,No
2928-HLDBA,Female,NO,No,No,6,0-1 Year,No
0404-SWRVG,Male,NO,No,No,3,0-1 Year,Yes
6497-TILVL,Female,NO,Yes,Yes,7,0-1 Year,No
7219-TLZHO,Female,NO,Yes,Yes,4,0-1 Year,No
4622-YNKIJ,Male,NO,No,No,33,2-4 Years,No
4412-YLTKF,Female,YES,No,No,27,2-4 Years,Yes
6734-PSBAW,Male,NO,Yes,No,72,5+ Years,No
3930-ZGWVE,Male,NO,No,No,1,0-1 Year,No
2639-UGMAZ,Male,YES,No,No,71,5+ Years,No
2876-GZYZC,Female,NO,No,No,13,1-2 Years,No
6207-WIOLX,Female,NO,Yes,Yes,25,2-4 Years,Yes
8587-XYZSF,Male,NO,No,No,67,5+ Years,No
3091-FYHKI,Male,NO,No,No,1,0-1 Year,Yes
2372-HWUHI,Male,NO,No,No,2,0-1 Year,Yes
7799-LGRDP,Female,NO,No,No,43,2-4 Years,No
7850-VWJUU,Female,NO,No,No,23,1-2 Years,No
3774-VBNXY,Female,NO,Yes,Yes,64,5+ Years,No
6217-KDYWC,Male,NO,No,Yes,57,4-5 Years,No
0390-DCFDQ,Female,YES,Yes,No,1,0-1 Year,Yes
3146-MSEGF,Female,YES,Yes,Yes,72,5+ Years,No
4080-OGPJL,Female,NO,No,No,8,0-1 Year,Yes
1095-WGNGG,Female,NO,Yes,No,61,5+ Years,No
2636-SJDOU,Male,NO,No,No,64,5+ Years,No
1131-QQZEB,Male,YES,Yes,No,71,5+ Years,No
5716-EZXZN,Female,NO,Yes,Yes,65,5+ Years,No
6837-BJYDQ,Male,NO,No,No,3,0-1 Year,No
2135-RXIHG,Male,NO,No,No,1,0-1 Year,Yes
6440-DKQGE,Male,NO,No,Yes,30,2-4 Years,No
3466-BYAVD,Male,NO,Yes,Yes,15,1-2 Years,No
3780-YVMFA,Female,NO,Yes,Yes,8,0-1 Year,No
3874-EQOEP,Male,NO,No,No,7,0-1 Year,Yes
1679-JRFBR,Female,NO,Yes,Yes,70,5+ Years,No
9073-ZZIAY,Male,NO,Yes,Yes,62,5+ Years,No
3077-RSNTJ,Female,NO,Yes,Yes,6,0-1 Year,No
6551-GNYDG,Female,NO,Yes,Yes,14,1-2 Years,No
9167-APMXZ,Female,NO,No,No,22,1-2 Years,No
2749-CTKAJ,Male,NO,Yes,Yes,22,1-2 Years,No
6371-NZYEG,Male,NO,Yes,Yes,16,1-2 Years,No
7554-NEWDD,Male,NO,No,No,10,0-1 Year,No
8992-VONJD,Female,NO,No,Yes,13,1-2 Years,No
0867-MKZVY,Female,NO,Yes,No,20,1-2 Years,Yes
4482-EWFMI,Female,NO,No,No,2,0-1 Year,No
4648-YPBTM,Male,NO,No,No,53,4-5 Years,No
2907-ILJBN,Female,NO,Yes,Yes,11,0-1 Year,No
6345-FZOQH,Male,NO,Yes,No,69,5+ Years,No
3376-BMGFE,Female,NO,No,No,4,0-1 Year,Yes
5997-OPVFA,Male,NO,Yes,No,72,5+ Years,No
3445-HXXGF,Male,YES,Yes,No,58,4-5 Years,Yes
1159-WFSGR,Female,NO,Yes,Yes,16,1-2 Years,No
7654-YWJUF,Male,NO,Yes,No,43,2-4 Years,No
1875-QIVME,Female,NO,Yes,No,2,0-1 Year,Yes
6727-IOTLZ,Male,NO,Yes,No,14,1-2 Years,No
0691-JVSYA,Female,NO,Yes,No,53,4-5 Years,Yes
5918-VUKWP,Female,NO,No,No,32,2-4 Years,No
1744-JHKYS,Female,NO,Yes,No,34,2-4 Years,No
2656-FMOKZ,Female,YES,No,No,15,1-2 Years,Yes
2070-FNEXE,Female,YES,No,No,7,0-1 Year,Yes
5947-SGKCL,Female,NO,Yes,Yes,15,1-2 Years,No
3712-PKXZA,Male,NO,Yes,No,61,5+ Years,No
6317-YPKDH,Female,NO,No,No,1,0-1 Year,Yes
6582-OIVSP,Female,NO,No,No,1,0-1 Year,No
9367-WXLCH,Male,NO,No,No,8,0-1 Year,Yes
5524-KHNJP,Male,NO,Yes,Yes,33,2-4 Years,No
1918-ZBFQJ,Female,NO,No,No,13,1-2 Years,Yes
1024-GUALD,Female,NO,Yes,No,1,0-1 Year,Yes
4827-USJHP,Male,NO,No,No,20,1-2 Years,No
8167-GJLRN,Male,NO,No,No,3,0-1 Year,No
0956-SYCWG,Female,NO,No,No,13,1-2 Years,No
8017-UVSZU,Female,NO,Yes,No,40,2-4 Years,No
7100-FQPRV,Male,NO,Yes,Yes,43,2-4 Years,No
2472-OVKUP,Male,NO,Yes,No,6,0-1 Year,Yes
2984-RGEYA,Female,NO,Yes,Yes,69,5+ Years,No
9680-NIAUV,Female,NO,Yes,Yes,72,5+ Years,No
2146-EGVDT,Male,NO,Yes,Yes,59,4-5 Years,No
2604-IJPDU,Female,NO,Yes,No,20,1-2 Years,No
9178-JHUVJ,Male,NO,Yes,Yes,24,2-4 Years,No
6168-YBYNP,Male,NO,No,No,59,4-5 Years,No
7255-SSFBC,Male,NO,Yes,Yes,72,5+ Years,No
3645-DEYGF,Male,NO,No,Yes,1,0-1 Year,No
9323-HGFWY,Female,NO,Yes,No,27,2-4 Years,No
8544-GOQSH,Female,NO,No,No,14,1-2 Years,No
3363-DTIVD,Male,NO,Yes,Yes,71,5+ Years,No
7018-WBJNK,Male,NO,No,Yes,13,1-2 Years,No
9142-KZXOP,Male,NO,No,No,44,2-4 Years,No
7674-YTAFD,Female,NO,No,No,33,2-4 Years,No
6348-SNFUS,Male,NO,Yes,Yes,72,5+ Years,No
1285-OKIPP,Male,NO,No,No,1,0-1 Year,Yes
7825-ECJRF,Female,NO,No,No,19,1-2 Years,Yes
1347-KTTTA,Male,NO,Yes,No,64,5+ Years,No
7841-TZDMQ,Male,NO,No,No,2,0-1 Year,Yes
4195-NZGTA,Female,NO,No,No,1,0-1 Year,No
7157-SMCFK,Male,NO,No,Yes,61,5+ Years,No
4709-LKHYG,Female,NO,Yes,Yes,29,2-4 Years,No
2504-DSHIH,Male,YES,Yes,No,23,1-2 Years,No
0699-NDKJM,Female,NO,Yes,No,57,4-5 Years,No
9286-BHDQG,Male,NO,Yes,Yes,72,5+ Years,No
0230-WEQUW,Male,NO,Yes,No,66,5+ Years,No
2040-LDIWQ,Male,NO,Yes,Yes,65,5+ Years,No
6496-JDSSB,Female,NO,No,No,8,0-1 Year,No
9408-SSNVZ,Female,NO,No,No,4,0-1 Year,Yes
4443-EMBNA,Female,NO,Yes,No,71,5+ Years,No
6469-MRVET,Male,NO,Yes,Yes,1,0-1 Year,No
0742-MOABM,Male,NO,Yes,No,4,0-1 Year,Yes
5961-VUSRV,Female,NO,No,No,12,1-2 Years,No
6778-JFCMK,Male,NO,No,No,24,2-4 Years,No
6341-JVQGF,Female,NO,Yes,Yes,31,2-4 Years,No
2232-DMLXU,Female,NO,Yes,No,1,0-1 Year,Yes
4811-JBUVU,Male,NO,No,No,30,2-4 Years,No
0945-TSONX,Female,NO,Yes,Yes,47,2-4 Years,No
2651-ZCBXV,Male,NO,No,No,54,4-5 Years,No
3316-UWXUY,Male,NO,No,No,50,4-5 Years,No
8937-RDTHP,Male,NO,No,No,1,0-1 Year,Yes
7083-MIOPC,Female,NO,No,No,72,5+ Years,No
1984-GPTEH,Female,NO,No,No,29,2-4 Years,No
1251-KRREG,Male,NO,No,No,2,0-1 Year,Yes
0621-JFHOL,Female,NO,No,No,10,0-1 Year,No
9903-LYSAB,Male,NO,Yes,No,18,1-2 Years,No
0094-OIFMO,Female,YES,No,No,11,0-1 Year,Yes
9227-UAQFT,Male,NO,No,No,16,1-2 Years,No
7301-ABVAD,Female,NO,No,No,72,5+ Years,No
6614-FHDBO,Male,NO,No,No,72,5+ Years,No
7576-ASEJU,Female,NO,Yes,Yes,41,2-4 Years,No
9058-HRZSV,Female,YES,Yes,No,65,5+ Years,No
4522-AKYLR,Female,YES,No,No,13,1-2 Years,No
0221-WMXNQ,Male,YES,No,No,4,0-1 Year,No
0303-UNCIP,Male,NO,No,No,41,2-4 Years,No
9947-OTFQU,Male,YES,No,No,15,1-2 Years,Yes
0322-YINQP,Male,NO,No,No,1,0-1 Year,Yes
0959-WHOKV,Male,NO,No,No,42,2-4 Years,No
4075-JFPGR,Female,NO,Yes,No,51,4-5 Years,No
4629-NRXKX,Female,NO,Yes,Yes,2,0-1 Year,Yes
9514-JDSKI,Male,YES,Yes,No,1,0-1 Year,Yes
3282-ZISZV,Male,NO,No,Yes,32,2-4 Years,No
3675-YDUPJ,Male,NO,No,No,10,0-1 Year,No
4111-BNXIF,Female,NO,Yes,Yes,67,5+ Years,No
7017-VFHAY,Female,NO,Yes,Yes,61,5+ Years,No
6655-LHBYW,Male,NO,No,No,50,4-5 Years,No
4959-JOSRX,Female,NO,Yes,No,2,0-1 Year,Yes
5046-NUHWD,Female,YES,Yes,No,29,2-4 Years,No
7273-TEFQD,Male,YES,No,No,3,0-1 Year,Yes
3606-TWKGI,Male,YES,No,No,13,1-2 Years,Yes
7529-ZDFXI,Male,YES,Yes,No,57,4-5 Years,No
7605-BDWDC,Female,NO,No,No,31,2-4 Years,No
1950-KSVVJ,Female,NO,Yes,No,45,2-4 Years,No
0123-CRBRT,Female,NO,Yes,Yes,61,5+ Years,No
6292-TOSSS,Male,NO,No,No,50,4-5 Years,No
3197-ARFOY,Female,YES,No,No,19,1-2 Years,No
6323-AYBRX,Male,NO,No,No,59,4-5 Years,Yes
7014-ZZXAW,Female,NO,Yes,No,71,5+ Years,No
4385-GZQXV,Female,YES,No,No,16,1-2 Years,Yes
7633-MVPUY,Male,NO,Yes,No,57,4-5 Years,No
6366-ZGQGL,Male,NO,No,No,1,0-1 Year,Yes
4716-HHKQH,Male,YES,Yes,No,20,1-2 Years,No
