customer_ID,phone_services,multiple_lines,internet_services,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,total_services
7590-VHVEG,No,No phone service,DSL,No,Yes,No,No,No,No,2
5575-GNVDE,Yes,No,DSL,Yes,No,Yes,No,No,No,4
3668-QPYBK,Yes,No,DSL,Yes,Yes,No,No,No,No,4
7795-CFOCW,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,4
9237-HQITU,Yes,No,Fiber optic,No,No,No,No,No,No,2
9305-CDSKC,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6
1452-KIOVK,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,5
6713-OKOMC,No,No phone service,DSL,Yes,No,No,No,No,No,2
7892-POOKP,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,7
6388-TABGU,Yes,No,DSL,Yes,Yes,No,No,No,No,4
9763-GRSKD,Yes,No,DSL,Yes,No,No,No,No,No,3
7469-LKBCI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
8091-TTVAX,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6
0280-XJGEX,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7
5129-JLPIS,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,7
3655-SNQYZ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,9
8191-XWSZG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
9959-WOFKT,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,7
4190-MFLUW,Yes,No,DSL,No,No,Yes,Yes,No,No,4
4183-MYFRB,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,5
8779-QRDMV,No,No phone service,DSL,No,No,Yes,No,No,Yes,3
1680-VDCWW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
1066-JKSGK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
3638-WEABW,Yes,Yes,DSL,No,Yes,No,Yes,No,No,5
6322-HRPFA,Yes,No,DSL,Yes,Yes,No,Yes,No,No,5
6865-JZNKO,Yes,No,DSL,Yes,Yes,No,No,No,No,4
6467-CHFZW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6
8665-UTDHZ,No,No phone service,DSL,No,Yes,No,No,No,No,2
5248-YGIJN,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,9
8773-HHUOZ,Yes,No,DSL,No,No,No,No,Yes,Yes,4
3841-NFECX,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,7
4929-XIHVW,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,5
6827-IEAUQ,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,6
7310-EGVHZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
3413-BMNZE,Yes,No,DSL,No,No,No,No,No,No,2
6234-RAAPL,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,7
6047-YHPVI,Yes,No,Fiber optic,No,No,No,No,No,No,2
6572-ADKRS,Yes,No,Fiber optic,No,No,Yes,No,No,No,3
5380-WJKOV,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7
8168-UQWWF,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6
8865-TNMNX,Yes,No,DSL,No,Yes,No,No,No,No,3
9489-DEDVP,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,6
9867-JCZSP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
4671-VJLCL,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,8
4080-IIARD,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,7
3714-NTNFO,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4
5948-UJZLF,Yes,No,DSL,No,Yes,No,No,No,No,3
7760-OYPDY,Yes,No,Fiber optic,No,No,No,No,Yes,No,3
7639-LIAYI,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,7
2954-PIBKO,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,6
8012-SOUDQ,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,5
9420-LOJKX,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,6
6575-SUVOI,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,6
7495-OOKFY,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,4
4667-QONEA,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,7
1658-BYGOY,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5
8769-KKTPH,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,6
5067-XJQFU,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,8
3957-SQXML,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
5954-BDFSG,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,7
0434-CSFON,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6
1215-FIGMP,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,5
0526-SXDJP,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,4
0557-ASKVU,Yes,No,DSL,No,No,Yes,Yes,No,No,4
5698-BQJOH,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5
5122-CYFXA,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,6
8627-ZYGSZ,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,4
3410-YOQBQ,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,7
3170-NMYVV,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7410-OIEDU,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,4
2273-QCKXA,Yes,No,DSL,No,No,No,Yes,No,No,3
0731-EBJQB,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
1891-QRQSA,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,8
8028-PNXHQ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
5630-AHZIL,Yes,No,DSL,Yes,No,No,Yes,No,Yes,5
2673-CXQEU,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,8
6416-JNVRK,Yes,No,DSL,No,No,No,No,No,Yes,3
5590-ZSKRV,Yes,No,DSL,Yes,Yes,No,No,No,No,4
0191-ZHSKZ,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,6
3887-PBQAO,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
5919-TMRGD,Yes,No,Fiber optic,No,No,No,No,Yes,No,3
8108-UXRQN,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,4
9191-MYQKX,Yes,No,Fiber optic,No,No,Yes,No,No,No,3
